timestamp,server,component,value,anomalous,scaled_value,reconstruction_error,is_anomaly
2024-12-24 21:03:21,server_1,CPU,10.2,False,0.08301425661914459,0.001981362966250532,True
2024-12-24 21:05:00,server_1,CPU,10.18,False,0.08285132382892056,0.0019883791049344823,True
2024-12-24 21:06:09,server_1,CPU,7.91,False,0.06435845213849287,0.002898104856244569,True
2024-12-24 21:06:28,server_1,CPU,5.57,False,0.04529531568228106,0.004092953623055305,True
2024-12-24 21:21:07,server_1,CPU,8.66,False,0.07046843177189409,0.0025719228953233206,True
2024-12-24 21:26:10,server_1,CPU,9.76,False,0.07942973523421588,0.0021396190350577706,True
2024-12-24 21:28:38,server_1,CPU,7.71,False,0.06272912423625254,0.002989565164465625,True
2024-12-24 21:30:51,server_1,CPU,9.01,False,0.07331975560081466,0.0024285494988712307,True
2024-12-24 21:32:00,server_1,CPU,8.69,False,0.07071283095723013,0.0025594149133492737,True
2024-12-24 21:37:23,server_1,CPU,9.11,False,0.07413441955193481,0.002388597526821646,True
2024-12-24 21:39:26,server_1,Disk,9.75,False,0.07934826883910387,0.0021433083713629903,True
2024-12-24 21:42:06,server_1,CPU,4.41,False,0.03584521384928717,0.004792337485077182,True
2024-12-24 21:55:40,server_1,CPU,5.39,False,0.04382892057026476,0.004196633199042986,True
2024-12-24 21:56:09,server_1,CPU,7.49,False,0.06093686354378818,0.003092390701585747,True
2024-12-24 21:56:40,server_1,CPU,6.6,False,0.05368635437881873,0.0035327316310920305,True
2024-12-24 21:57:59,server_1,CPU,6.19,False,0.05034623217922607,0.0037490806176946187,True
2024-12-24 21:59:07,server_1,CPU,6.1,False,0.049613034623217915,0.003797738630128713,True
2024-12-24 22:01:37,server_1,CPU,4.73,False,0.03845213849287169,0.004591940727184084,True
2024-12-24 22:05:01,server_1,Disk,9.96,False,0.08105906313645621,0.0020666731070540854,True
2024-12-24 22:06:09,server_1,CPU,7.19,False,0.058492871690427696,0.0032364187880170787,True
2024-12-24 22:06:57,server_1,CPU,9.38,False,0.07633401221995927,0.0022829378457244805,True
2024-12-24 22:11:01,server_1,CPU,3.99,False,0.032423625254582485,0.005064205979586136,True
2024-12-24 22:14:09,server_1,CPU,9.64,False,0.07845213849287169,0.0021842038875376627,True
2024-12-24 22:17:10,server_1,CPU,9.22,False,0.075030549898167,0.002345164333310492,True
2024-12-24 22:20:28,server_1,CPU,3.78,False,0.03071283095723014,0.005203958922389595,True
2024-12-24 22:22:58,server_1,CPU,6.35,False,0.05164969450101833,0.0036636186814602233,True
2024-12-24 22:33:34,server_1,CPU,4.99,False,0.04057026476578411,0.004433340789847454,True
2024-12-24 22:37:39,server_1,CPU,5.54,False,0.04505091649694501,0.004110107195286828,True
2024-12-24 22:37:56,server_1,CPU,3.2,False,0.025987780040733197,0.005603418460501097,True
2024-12-24 22:38:55,server_1,CPU,8.58,False,0.06981670061099796,0.0026054711941057213,True
2024-12-24 22:40:54,server_1,CPU,6.67,False,0.05425661914460285,0.0034966578858362267,True
2024-12-24 22:43:03,server_1,CPU,8.54,False,0.06949083503054988,0.0026223604388879124,True
2024-12-24 22:46:08,server_1,CPU,5.74,False,0.04668024439918533,0.003996632642215065,True
2024-12-24 22:46:55,server_1,CPU,8.13,False,0.06615071283095723,0.002799698031591124,True
2024-12-24 22:50:59,server_1,CPU,2.7,False,0.021914460285132383,0.005963958262135002,True
2024-12-24 22:51:50,server_1,CPU,7.0,False,0.05694501018329939,0.0033299350566791406,True
2024-12-24 22:56:33,server_1,CPU,7.53,False,0.06126272912423625,0.0030735232525725743,True
2024-12-24 23:11:24,server_1,CPU,9.96,False,0.08105906313645621,0.0020666731070540854,True
2024-12-24 23:19:10,server_1,CPU,4.32,False,0.03511201629327902,0.004849745549407021,True
2024-12-24 23:24:04,server_1,CPU,10.17,False,0.08276985743380855,0.0019918944846052332,True
2024-12-24 23:29:52,server_1,CPU,3.56,False,0.028920570264765782,0.005353135429332492,True
2024-12-24 23:31:06,server_1,CPU,9.45,False,0.07690427698574337,0.002256067099415879,True
2024-12-24 23:32:56,server_1,CPU,5.23,False,0.04252545824847251,0.004290265057880844,True
2024-12-24 23:33:58,server_1,CPU,8.74,False,0.07112016293279022,0.0025386633091631105,True
2024-12-24 23:34:50,server_1,CPU,5.64,False,0.045865580448065164,0.004053100687206755,True
2024-12-24 23:36:33,server_1,CPU,8.16,False,0.06639511201629328,0.0027864569128471075,True
2024-12-24 23:40:29,server_1,CPU,9.5,False,0.07731160896130346,0.0022370045287855287,True
2024-12-24 23:41:05,server_1,Disk,10.16,False,0.08268839103869653,0.0019954129690617135,True
2024-12-24 23:49:30,server_1,CPU,5.0,False,0.040651731160896126,0.004427314187641837,True
2024-12-24 23:53:53,server_1,CPU,9.39,False,0.07641547861507128,0.0022790874974951887,True
2024-12-24 23:54:36,server_1,CPU,7.27,False,0.05914460285132382,0.0031975791484632914,True
2024-12-24 23:55:40,server_1,CPU,3.37,False,0.027372708757637473,0.00548426813488088,True
2024-12-25 00:01:39,server_1,CPU,2.69,False,0.021832993890020365,0.005971323411881127,True
2024-12-25 00:02:56,server_1,CPU,4.45,False,0.036171079429735235,0.004766971143104247,True
2024-12-25 00:03:36,server_1,CPU,6.97,False,0.056700610997963335,0.0033448661251664104,True
2024-12-25 00:06:34,server_1,CPU,1.14,False,0.009205702647657838,0.007188775990751439,True
2024-12-25 00:07:00,server_1,CPU,10.07,False,0.08195519348268838,0.0020272740603047776,True
2024-12-25 00:08:07,server_1,CPU,5.12,False,0.041629327902240325,0.004355446460673603,True
2024-12-25 00:10:35,server_1,CPU,7.71,False,0.06272912423625254,0.002989565164465625,True
2024-12-25 00:11:10,server_1,CPU,9.41,False,0.07657841140529531,0.0022713958399401897,True
2024-12-25 00:11:36,server_1,CPU,8.68,False,0.07063136456211812,0.00256357884106951,True
2024-12-25 00:12:09,server_1,CPU,5.93,False,0.04822810590631364,0.0038908064568354936,True
2024-12-25 00:13:21,server_1,CPU,3.06,False,0.02484725050916497,0.005702843535583979,True
2024-12-25 00:14:23,server_1,CPU,8.01,False,0.06517311608961303,0.0028530933686869283,True
2024-12-25 00:15:10,server_1,CPU,1.83,False,0.014826883910386965,0.006628009164913408,True
2024-12-25 00:15:50,server_1,CPU,3.81,False,0.03095723014256619,0.0051838374477045975,True
2024-12-25 00:19:01,server_1,CPU,8.8,False,0.07160896130346232,0.002513910538664903,True
2024-12-25 00:21:59,server_1,CPU,6.05,False,0.049205702647657834,0.003824953317549834,True
2024-12-25 00:22:57,server_1,CPU,3.29,False,0.026720977596741344,0.005540123917826126,True
2024-12-25 00:24:07,server_1,CPU,8.25,False,0.06712830957230143,0.0027469874762767825,True
2024-12-25 00:25:07,server_1,CPU,5.03,False,0.04089613034623218,0.004409274806646515,True
